Language_ID,Parameter_ID,Value,Name,Family
ger,29A,Syncretic,German,Indo-European
goo,29A,Not syncretic,Gooniyandi,Bunuban
grb,29A,Not syncretic,Grebo,Niger-Congo
grk,29A,Not syncretic,Greek (Modern),Indo-European
grw,29A,Not syncretic,Greenlandic (West),Eskimo-Aleut
gua,29A,Not syncretic,Guaraní,Tupian
ham,29A,Syncretic,Hamtai,Trans-New Guinea
hau,29A,No subject person/number marking,Hausa,Afro-Asiatic
heb,29A,Syncretic,Hebrew (Modern),Afro-Asiatic
hin,29A,Syncretic,Hindi,Indo-European
hix,29A,Syncretic,Hixkaryana,Cariban
hmi,29A,Not syncretic,Huitoto (Minica),Huitotoan
hmo,29A,No subject person/number marking,Hmong Njua,Hmong-Mien
hun,29A,Not syncretic,Hungarian,Uralic
hzb,29A,Not syncretic,Hunzib,Nakh-Daghestanian
igb,29A,No subject person/number marking,Igbo,Niger-Congo
ika,29A,Syncretic,Ika,Chibchan
imo,29A,No subject person/number marking,Imonda,Border
ind,29A,No subject person/number marking,Indonesian,Austronesian
ing,29A,Not syncretic,Ingush,Nakh-Daghestanian
iri,29A,Syncretic,Irish,Indo-European
irq,29A,Syncretic,Iraqw,Afro-Asiatic
jak,29A,Not syncretic,Jakaltek,Mayan
juh,29A,No subject person/number marking,Ju|'hoan,Kxa
kay,29A,No subject person/number marking,Kayardild,Tangkic
ker,29A,No subject person/number marking,Kera,Afro-Asiatic
ket,29A,Syncretic,Ket,Yeniseian
kew,29A,Syncretic,Kewa,Trans-New Guinea
kfe,29A,No subject person/number marking,Koromfe,Niger-Congo
kha,29A,No subject person/number marking,Khalkha,Altaic
khm,29A,No subject person/number marking,Khmer,Austro-Asiatic
kho,29A,Syncretic,Nama,Khoe-Kwadi
khs,29A,No subject person/number marking,Khasi,Austro-Asiatic
kio,29A,Syncretic,Kiowa,Kiowa-Tanoan
klv,29A,Not syncretic,Kilivila,Austronesian
kmu,29A,No subject person/number marking,Khmu',Austro-Asiatic
knd,29A,Syncretic,Kannada,Dravidian
knr,29A,Not syncretic,Kanuri,Saharan
koa,29A,Not syncretic,Koasati,Muskogean
kob,29A,Syncretic,Kobon,Trans-New Guinea
kon,29A,Syncretic,Kongo,Niger-Congo
krb,29A,No subject person/number marking,Kiribati,Austronesian
kro,29A,Not syncretic,Krongo,Kadu
kse,29A,No subject person/number marking,Koyraboro Senni,Songhay
kyl,29A,No subject person/number marking,Kayah Li (Eastern),Sino-Tibetan
lad,29A,No subject person/number marking,Ladakhi,Sino-Tibetan
lak,29A,Syncretic,Lak,Nakh-Daghestanian
lan,29A,Syncretic,Lango,Eastern Sudanic
lat,29A,Syncretic,Latvian,Indo-European
lav,29A,Syncretic,Lavukaleve,Solomons East Papuan
lep,29A,No subject person/number marking,Lepcha,Sino-Tibetan
lez,29A,No subject person/number marking,Lezgian,Nakh-Daghestanian
lkt,29A,Not syncretic,Lakhota,Siouan
luv,29A,Syncretic,Luvale,Niger-Congo
mab,29A,Not syncretic,Maba,Maban
mal,29A,Not syncretic,Malagasy,Austronesian
mao,29A,No subject person/number marking,Maori,Austronesian
map,29A,Not syncretic,Mapudungun,Araucanian
mar,29A,Not syncretic,Maricopa,Hokan
mau,29A,Not syncretic,Maung,Iwaidjan
may,29A,Not syncretic,Maybrat,West Papuan
mei,29A,No subject person/number marking,Meithei,Sino-Tibetan
mku,29A,Not syncretic,Maranungku,Western Daly
mnd,29A,No subject person/number marking,Mandarin,Sino-Tibetan
mrd,29A,Syncretic,Marind,Anim
mrl,29A,Syncretic,Murle,Eastern Sudanic
mrt,29A,No subject person/number marking,Martuthunira,Pama-Nyungan
mss,29A,Not syncretic,Miwok (Southern Sierra),Penutian
mun,29A,Not syncretic,Mundari,Austro-Asiatic
mxc,29A,Not syncretic,Mixtec (Chalcatongo),Oto-Manguean
myi,29A,Not syncretic,Mangarrayi,Mangarrayi-Maran
nav,29A,Not syncretic,Navajo,Na-Dene
nbd,29A,Syncretic,Nubian (Dongolese),Eastern Sudanic
ndy,29A,No subject person/number marking,Ndyuka,other
nez,29A,Not syncretic,Nez Perce,Penutian
ngi,29A,No subject person/number marking,Ngiyambaa,Pama-Nyungan
nht,29A,Not syncretic,Nahuatl (Tetelcingo),Uto-Aztecan
nko,29A,Syncretic,Nkore-Kiga,Niger-Congo
nti,29A,Syncretic,Ngiti,Central Sudanic
ntu,29A,Syncretic,Nenets,Uralic
nug,29A,Syncretic,Nunggubuyu,Gunwinyguan
ond,29A,Not syncretic,Oneida,Iroquoian
orh,29A,Syncretic,Oromo (Harar),Afro-Asiatic
pai,29A,Not syncretic,Paiwan,Austronesian
pau,29A,Not syncretic,Paumarí,Arauan
pit,29A,No subject person/number marking,Pitjantjatjara,Pama-Nyungan
pms,29A,Not syncretic,Paamese,Austronesian
prh,29A,No subject person/number marking,Pirahã,Mura
prs,29A,Not syncretic,Persian,Indo-European
psm,29A,Not syncretic,Passamaquoddy-Maliseet,Algic
pso,29A,No subject person/number marking,Pomo (Southeastern),Hokan
qaw,29A,No subject person/number marking,Qawasqar,Alacalufan
qim,29A,Not syncretic,Quechua (Imbabura),Quechuan
ram,29A,No subject person/number marking,Rama,Chibchan
rap,29A,No subject person/number marking,Rapanui,Austronesian
rus,29A,Not syncretic,Russian,Indo-European
san,29A,Not syncretic,Sango,Niger-Congo
sel,29A,No subject person/number marking,Selknam,Chon
shk,29A,No subject person/number marking,Shipibo-Konibo,Panoan
sla,29A,Not syncretic,Slave,Na-Dene
snm,29A,No subject person/number marking,Sanuma,Yanomam
spa,29A,Syncretic,Spanish,Indo-European
squ,29A,Not syncretic,Squamish,Salishan
sue,29A,Syncretic,Suena,Trans-New Guinea
sup,29A,No subject person/number marking,Supyire,Niger-Congo
swa,29A,Syncretic,Swahili,Niger-Congo
tab,29A,Not syncretic,Taba,Austronesian
tag,29A,No subject person/number marking,Tagalog,Austronesian
tha,29A,No subject person/number marking,Thai,Tai-Kadai
tiw,29A,Syncretic,Tiwi,Tiwian
tli,29A,Not syncretic,Tlingit,Na-Dene
tsi,29A,Not syncretic,Tsimshian (Coast),Penutian
tuk,29A,Not syncretic,Tukang Besi,Austronesian
tur,29A,Not syncretic,Turkish,Altaic
una,29A,Not syncretic,Una,Trans-New Guinea
ung,29A,Not syncretic,Ungarinjin,Worrorran
urk,29A,Not syncretic,Urubú-Kaapor,Tupian
usa,29A,Syncretic,Usan,Trans-New Guinea
vie,29A,No subject person/number marking,Vietnamese,Austro-Asiatic
wam,29A,Not syncretic,Wambaya,Mirndi
war,29A,No subject person/number marking,Wari',Chapacura-Wanham
wch,29A,Not syncretic,Wichí,Matacoan
wic,29A,Not syncretic,Wichita,Caddoan
wrd,29A,Not syncretic,Wardaman,Yangmanic
yag,29A,No subject person/number marking,Yagua,Peba-Yaguan
yaq,29A,No subject person/number marking,Yaqui,Uto-Aztecan
yid,29A,No subject person/number marking,Yidiny,Pama-Nyungan
yim,29A,Syncretic,Yimas,Lower Sepik-Ramu
yko,29A,Syncretic,Yukaghir (Kolyma),Yukaghir
yor,29A,No subject person/number marking,Yoruba,Niger-Congo
ypk,29A,Not syncretic,Yup'ik (Central),Eskimo-Aleut
yur,29A,Not syncretic,Yurok,Algic
zqc,29A,Not syncretic,Zoque (Copainalá),Mixe-Zoque
zul,29A,Syncretic,Zulu,Niger-Congo
